iter	Passed	Remaining
951	14707	741
952	14720	725
953	14733	710
954	14746	694
955	14759	679
956	14777	664
957	14793	648
958	14807	633
959	14821	617
960	14835	602
961	14847	586
962	14860	570
963	14876	555
964	14888	540
965	14901	524
966	14914	508
967	14928	493
968	14941	477
969	14953	462
970	14968	447
971	14984	431
972	15001	416
973	15015	400
974	15029	385
975	15042	369
976	15055	354
977	15067	338
978	15082	323
979	15094	308
980	15108	292
981	15120	277
982	15133	261
983	15147	246
984	15159	230
985	15174	215
986	15190	200
987	15209	184
988	15223	169
989	15237	153
990	15250	138
991	15263	123
992	15277	107
993	15290	92
994	15305	76
995	15318	61
996	15330	46
997	15343	30
998	15358	15
999	15372	0
